code,product_name,ingredients_text,allergens_en,image_url,ingredients_cleaned,nb_ingredients,ewg_status,Product_Score
4015400833581,Baby-dry 4 / 8-16 kg,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract.",,,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",4,ALL_FOUND,1.4166666666666667
4015400833659,Baby dry taille 4 (8-16 kg) Maxi,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract.",,,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",4,ALL_FOUND,1.4166666666666667
4015400834052,Baby-dry 4+ 9-18 kg,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",,,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",4,ALL_FOUND,1.3125
4015400834113,Baby-dry 4+ Maxi+ 9-18kg,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract.",,,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",4,ALL_FOUND,1.4166666666666667
4015400834489,Baby-dry 5+ 13-25 kg,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract.",,,"petrolatum, stearyl alcohol, paraffinum liquidum, aloe barbadensis leaf extract",4,ALL_FOUND,1.4166666666666667
5099802150117,Lip therapy petroleum jelly pocket size,petrolatum,,http://en.openbeautyfacts.org/images/products/509/980/215/0117/front.5.400.jpg,petrolatum,1,ALL_FOUND,2.0
5412058146794,Natural Talcum,talc,,http://en.openbeautyfacts.org/images/products/541/205/814/6794/front.7.400.jpg,talc,1,ALL_FOUND,1.0
8415555555554,Shimmer and color blush,"Talc, mica, kaolin, aluminium starch octenylsuccinate, isocetyl stearoyl stearate, titanium dioxide, pentaerythrityl tetraisostearate, phenoxyethanol, caprylyl glycol, magnesium stearate, caprylic/capric triglyceride, cinnamal, citronellol, calcium aluminium borosilicate, tin oxide.",,,"talc, mica, kaolin, aluminium starch octenylsuccinate, isocetyl stearoyl stearate, titanium dioxide, pentaerythrityl tetraisostearate, phenoxyethanol, caprylyl glycol, magnesium stearate, capryliccapric triglyceride, cinnamal, citronellol, calcium aluminium borosilicate, tin oxide",15,ALL_FOUND,1.2307692307692308
8714789788838,Sanex natur protect,"ISOBUTANE, BUTANE, PRAPANE, CYCLOMETHICONE, DIMETHICONE, POTASSIUM ALUM, DISEARDIMONIUM HECT..., PROPYLENE CARBONATE, DIMETHICONOL",,,"isobutane, butane, prapane, cyclomethicone, dimethicone, potassium alum, diseardimonium hect, propylene carbonate, dimethiconol",9,ALL_FOUND,1.28125
3 600551 154961,parfum Nihel,"butane , coumarin, linalool",,,,,,4
6192403000023,boom à lèvre, "beurre de karité , vitamine A , vitamine E",
600551154961 ,talc , fragrance , limonene
3 600551154961 ,talc , fragrance , limonene
3 600551 154961 ,
