barcode,product_name,ingredients,image_url
651986701308,Born this way,"Water, Cyclopentasiloxane, Glycerin, Aluminium Starch Octenylsuccinate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Polyglyceryl-4 Isostearate, Isododecane, Dimethicone, 1,2-Hexanediol, Alcohol, Butylene Glycol, Caprylyl Glycol, Cocos Nucifera (Coconut) Water, Cyclotetrasyloxane, diphenyl Dimethicone, Disteardimonium Hectorite, EDTA, Ethylhexyl Methoxycinnamate, Ethylhexyl Palmitate, Hexylene Glycol, Lecithin, Magnesium sulfate, Phenoxyethanol, Pistacia Lentiscus (Mastic) Gum, Polysilicone-11, Potassium Sorbate, Propylene Carbonate, Rhododendron Ferrugineum Extract, Silica Dimethyl Silylate, Sodium Hyaluronate, Tetrahexyldecyl Ascorbate, Tribehenin, Triethoxycaprylylsilane",
6582,Jardins du monde Fleur de coton d'Inde,"AQUA, ALUMINUM CHLOROHYDRATE, PPG-15 STEARYL ETHER, HAMAMELIS VIRGINIANA WATER, STEARETH-2, GOSSYPIUM HERBACEUM EXTRACT, STEARETH-20, SODIUM BENZOATE, PARFUM, PROPYLENE GLYCOL, LIMONENE",http://en.openbeautyfacts.org/images/products/06582/front.6.400.jpg
663350062854,Shower gel & shampoo 2 en 1,"Aqua/Water, Sodium Laureth Sulfate, Disodium Laureth Sulfosuccinate, Cocamidopropyl Betaine, Sodium Chloride, Sodium Lauryl Sulfate, PEG-150 Distearate, Parfum/Fragance, Phenoxyethanol, Chlorphenesin, Disodium EDTA, Citric Acid, Tocopheryl Acetate, Retinyl Palmitate, CI 15-985 (FD&C Yellow no 6)",
667536214730,Body Cream ,"Water (Aqua, Eua), Glycerin, Caprylic/Capric, Triglyceride, Glyceryl Stearate SE, C12-15 Alkyl Benzoate, Cetyl Alcohol, Dimethicome, Isohexadecane, Steric Acid, Fragrance (Parfum), Butyrospermum Pakii (Shea) Butter, Aloe Barbadensis Leaf Extract",
737052351018,BOSS,"Alcohol Denat, Aqua, Parfum, Benzophenone-2.",http://en.openbeautyfacts.org/images/products/073/705/235/1018/front.9.400.jpg
737052596914,Hugo Boss RED,"Alcohol Denat., Aqua (Water), Parfum (Fragrance), Ethylhexyl Methoxycinnamate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, BHT, Limonene, Linalool, Citral, Coumarin, Geraniol.",http://en.openbeautyfacts.org/images/products/073/705/259/6914/front.6.400.jpg
738678239940,Shaving Gel,"Aqua, dicaprylyl carbonate, glycerin, coco-caprylate/caprate, lauryl glucoside, polyglyceryl-2 dipolyhydroxystearate, sodium polyacrylate, maris aqua, tocopheryl, pumpkin seed extract, tea tree leaf oil, bisabolol, wheat germ glycerides, butylene glycel, alteromonas ferment extract, camelia sinensis leaf extract, urtica dioica extract, sambucus nigra flower extract, salvia hispanica seed extract, symphytum officinale leaf extract, chondrus crispus angustifolia extract, parfum, limonene, phenoxyethanol, methylparaben, propylparaben ",
738678240472,Ultra Gliding Shave Oil,"Olive Oil PEG-7 Esters, Oryza Sativa (Rice) Bran Oil, Menthol, Eugenia Caryophyllus (Clove) Flower Oil, Tocopheryl Acetate, Eucalyptus Globulus Leaf Oil, BHT, Copaifera Officinalis (Balsam Copaiba) Resin, Mentha Piperita (Peppermint) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Parfum (Fragrance), Eugenol",
743877050630,03 Water Wax,"Aqua/Water, Peg-40 Hydrogenated Castor Oil, Ppg-5-Ceteth-20, Steareth-20, Propylene Glycol, Glycerin, Oleth-10 Phosphate, C12-15 Alkyl Benzoate, Octyldodecyl Neopentanoate, Phenoxyethanol, Parfum/Fragrance, Potassium Hydroxide, Methylparaben, Ethylparaben, Disodium Edta, Limonene, Hexyl Cinnamal, CI 77891/ Titanium Dioxide, Mica, Citronellol, Citral, Geraniol, Hydrolyzed Wheat Protein, Linalool, Hydrolyzed Wheat Starch, CI 42909/Blue 1, CI 17200 red 33 (D558/3)",
7812133,Démaquillant yeux waterproof à l'extrait de prune,"Aqua, Isopropyl Myristate, Glycerin, Isononyl Isonanoate, Prunus Armeniaca Kernel Oil, Sodium Benzoate, Potassium Sorbate, Lactic Acid, Citric Acid, CI 61565, Prunus Domestica Fruit Extract",
793675270167,Lily & spice eau de parfum,"Alcohol Denat., Parfum (Fragrance), Aqua (Water), Benzyl Salicylate, Linalool, Eugenol, Farnesol, isoeugenol, Benzyl Alcohol, Benzyl Alcohol, Benzyl Benzoate, Denatonium Benzoate.  ",http://en.openbeautyfacts.org/images/products/079/367/527/0167/front.8.400.jpg
